cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000198804	16.154888	6.771849	1.04909261484124e-58	1.98756992578671e-54
1	rest	1	ENSG00000198712	16.114172	7.2618356	2.02865009011147e-58	1.98756992578671e-54
1	rest	2	ENSG00000198938	16.082346	8.326014	3.39285864075311e-58	2.2161021688519e-54
1	rest	3	ENSG00000198886	16.032997	7.321883	7.51693305054533e-58	3.68235757813589e-54
1	rest	4	ENSG00000198899	15.813179	8.535149	2.52402439973713e-56	9.89165162256982e-53
1	rest	5	ENSG00000198763	15.509868	9.790924	2.97492572655786e-54	9.71561160198355e-51
1	rest	6	ENSG00000256618	15.475336	9.457158	5.09069810451098e-54	1.4250318479699e-50
1	rest	7	ENSG00000198727	15.386945	9.02258	2.00266864625421e-53	4.90528651541891e-50
1	rest	8	ENSG00000198786	15.353444	8.902154	3.35870968686712e-53	7.31265736824014e-50
1	rest	9	ENSG00000269028	15.3442955	9.649907	3.86732941857015e-53	7.53283178274968e-50
1	rest	10	ENSG00000198888	15.338497	9.425556	4.22868842103835e-53	7.53283178274968e-50
1	rest	11	ENSG00000173212	15.043818	38.913097	3.79038191942131e-51	6.18937780925505e-48
1	rest	12	ENSG00000144649	14.871547	8.901205	5.043419359261e-50	7.60198479574764e-47
1	rest	13	ENSG00000225890	14.782641	9.51274	1.89583921912629e-49	2.6534978213414e-46
1	rest	14	ENSG00000198840	14.718989	9.164636	4.86881920468926e-49	6.36030082105906e-46
1	rest	15	ENSG00000236418	14.652503	9.438281	1.29842740479345e-48	1.59016781230798e-45
1	rest	16	ENSG00000168014	14.487189	8.945229	1.45995877704725e-47	1.68281719036711e-44
1	rest	17	ENSG00000198513	14.399443	9.837326	5.21623949877906e-47	5.67845627658753e-44
1	rest	18	ENSG00000270672	14.277036	8.586412	3.04270944643509e-46	2.98109458014478e-43
1	rest	19	ENSG00000282017	14.277036	8.586412	3.04270944643509e-46	2.98109458014478e-43
1	rest	20	ENSG00000167680	14.261574	10.657624	3.79791655621565e-46	3.54381785328789e-43
1	rest	21	ENSG00000087299	14.004004	10.390062	1.47331254791559e-44	1.31225269892755e-41
1	rest	22	ENSG00000140279	13.905434	36.823944	5.87097373202407e-44	5.00181435995703e-41
1	rest	23	ENSG00000282813	13.721824	6.348484	7.51513362389375e-43	6.13579347334159e-40
1	rest	24	ENSG00000138035	13.682525	8.576412	1.29130707568284e-42	1.01212648592021e-39
1	rest	25	ENSG00000271503	13.45343	8.781312	2.93915851206146e-41	2.13306707569794e-38
1	rest	26	ENSG00000274233	13.45343	8.781312	2.93915851206146e-41	2.13306707569794e-38
1	rest	27	ENSG00000167625	13.312082	9.593961	1.9691646170636e-40	1.37806359540576e-37
1	rest	28	ENSG00000133812	13.28425	8.004532	2.85704238120249e-40	1.93047398136768e-37
1	rest	29	ENSG00000163864	13.277937	7.720096	3.10840249163959e-40	2.03030489412259e-37
1	rest	30	ENSG00000285437	13.189288	8.590404	1.01135111985216e-39	6.39271780435583e-37
1	rest	31	ENSG00000197563	13.139553	8.400022	1.95378213510819e-39	1.19638627929516e-36
1	rest	32	ENSG00000100201	13.075128	7.6077166	4.56794520251797e-39	2.71239049222241e-36
1	rest	33	ENSG00000109046	12.999236	8.244685	1.23572173201159e-38	7.12175509963739e-36
1	rest	34	ENSG00000196458	12.890358	10.183904	5.10065817613538e-38	2.85563991318208e-35
1	rest	35	ENSG00000255823	12.883271	7.8918476	5.59144820969924e-38	3.04345632414046e-35
1	rest	36	ENSG00000181704	12.878761	7.4488773	5.92792510587696e-38	3.13939709323403e-35
1	rest	37	ENSG00000115947	12.87	7.48573	6.64024667980933e-38	3.42409562344379e-35
1	rest	38	ENSG00000132424	12.7687235	7.6210976	2.45140288761465e-37	1.23167280981562e-34
1	rest	39	ENSG00000145362	12.746046	10.186916	3.27960351162818e-37	1.60659577025885e-34
1	rest	40	ENSG00000085998	12.6965685	9.061864	6.17798763154712e-37	2.95262604000404e-34
1	rest	41	ENSG00000212907	12.693733	8.497736	6.4057753815769e-37	2.98859925242856e-34
1	rest	42	ENSG00000173214	12.626474	9.751103	1.50889037079178e-36	6.87597832922438e-34
1	rest	43	ENSG00000175782	12.560503	8.898755	3.48111642150454e-36	1.55028355180412e-33
1	rest	44	ENSG00000136213	12.557926	8.4122095	3.59635444615533e-36	1.56601256383142e-33
1	rest	45	ENSG00000118596	12.530095	9.813627	5.11015872933171e-36	2.17681652828815e-33
1	rest	46	ENSG00000136492	12.513086	8.51335	6.33152295998241e-36	2.63970622129479e-33
1	rest	47	ENSG00000100836	12.36929	6.139978	3.83190588524414e-35	1.56429574627831e-32
1	rest	48	ENSG00000116299	12.265696	9.7143135	1.38418367790338e-34	5.42461583370335e-32
1	rest	49	ENSG00000153944	12.223691	6.8844867	2.32294118492477e-34	8.92510441541194e-32
1	rest	50	ENSG00000276053	12.211966	8.056218	2.68327774788536e-34	1.01113129749642e-31
1	rest	51	ENSG00000278154	12.149473	8.025373	5.77362393714888e-34	2.09507705645245e-31
1	rest	52	ENSG00000276163	12.149473	8.025373	5.77362393714888e-34	2.09507705645245e-31
1	rest	53	ENSG00000163428	12.14535	7.579654	6.07219968002667e-34	2.16335914054768e-31
1	rest	54	ENSG00000169213	12.088914	6.8937683	1.2087360782e-33	4.22949704505874e-31
1	rest	55	ENSG00000141933	12.079379	7.225922	1.35740458666938e-33	4.66637594312044e-31
1	rest	56	ENSG00000282417	12.028613	8.6576805	2.51348811863806e-33	8.49168960081257e-31
1	rest	57	ENSG00000073734	11.992792	8.60095	3.8761369267665e-33	1.28733734033881e-30
1	rest	58	ENSG00000143801	11.971403	35.120625	5.01726658284828e-33	1.63855564484853e-30
1	rest	59	ENSG00000248527	11.967023	7.789491	5.28927961994044e-33	1.69907269102841e-30
1	rest	60	ENSG00000172270	11.958905	6.1935115	5.83258907379938e-33	1.84338036937256e-30
1	rest	61	ENSG00000156218	11.844873	9.487779	2.28763779899781e-32	7.11527978910508e-30
1	rest	62	ENSG00000114857	11.780706	9.169806	4.90800831925086e-32	1.50269410962063e-29
1	rest	63	ENSG00000204138	11.737928	7.1008053	8.14574366448351e-32	2.45562841700853e-29
1	rest	64	ENSG00000205929	11.729166	9.409945	9.03438959019725e-32	2.66240701720812e-29
1	rest	65	ENSG00000115457	11.728522	6.3242583	9.10340750971902e-32	2.66240701720812e-29
1	rest	66	ENSG00000138061	11.713575	7.3129053	1.08600960557171e-31	3.12946444429083e-29
1	rest	67	ENSG00000162654	11.689867	34.913742	1.43610629494035e-31	4.0783337462835e-29
1	rest	68	ENSG00000113140	11.677498	6.543096	1.66113498988475e-31	4.64999144668452e-29
1	rest	69	ENSG00000111275	11.643997	6.4356403	2.46201062715796e-31	6.79480256889582e-29
1	rest	70	ENSG00000123636	11.621191	7.2576323	3.21622400139762e-31	8.75304295935922e-29
1	rest	71	ENSG00000183735	11.579959	6.913696	5.20710601622419e-31	1.39771564914949e-28
1	rest	72	ENSG00000127603	11.56746	34.904133	6.02393923769155e-31	1.59512282922386e-28
1	rest	73	ENSG00000166377	11.539886	7.556399	8.30345760288492e-31	2.16941668971373e-28
1	rest	74	ENSG00000189339	11.514246	9.21618	1.11833955417841e-30	2.88340310054288e-28
1	rest	75	ENSG00000103197	11.493501	7.7238355	1.4222884808948e-30	3.61944711469267e-28
1	rest	76	ENSG00000150401	11.414774	9.008867	3.52820612159167e-30	8.86348704520368e-28
1	rest	77	ENSG00000160229	11.396735	7.376298	4.34095876883403e-30	1.07115856673245e-27
1	rest	78	ENSG00000033122	11.3960905	34.76636	4.37319139263059e-30	1.07115856673245e-27
1	rest	79	ENSG00000111321	11.3805	7.8254895	5.22991056266374e-30	1.26518638858514e-27
1	rest	80	ENSG00000100714	11.378825	6.4682813	5.33132930050918e-30	1.26984900200111e-27
1	rest	81	ENSG00000117523	11.378052	6.7085414	5.37879393549843e-30	1.26984900200111e-27
1	rest	82	ENSG00000162924	11.343004	8.5448265	8.03378799575239e-30	1.87407233067581e-27
1	rest	83	ENSG00000168137	11.336691	7.0418077	8.63479613503425e-30	1.9905744737176e-27
1	rest	84	ENSG00000198695	11.333083	9.017757	8.99804611351872e-30	2.05019434412092e-27
1	rest	85	ENSG00000117394	11.330764	6.0072284	9.23953051594828e-30	2.08101839609203e-27
1	rest	86	ENSG00000164070	11.322517	9.048314	1.01514018974823e-29	2.26041727478598e-27
1	rest	87	ENSG00000084234	11.296618	6.358601	1.3636784776322e-29	3.00239098530371e-27
1	rest	88	ENSG00000166598	11.28309	6.500292	1.5905958241732e-29	3.46308057496375e-27
1	rest	89	ENSG00000211451	11.276389	9.039696	1.71647004755221e-29	3.69606929470171e-27
1	rest	90	ENSG00000161405	11.249203	34.652615	2.33696116205815e-29	4.97747325766625e-27
1	rest	91	ENSG00000197217	11.239281	7.7195873	2.6150391530976e-29	5.50985937687606e-27
1	rest	92	ENSG00000110492	11.236446	3.4636369	2.70035516711159e-29	5.62909143612251e-27
1	rest	93	ENSG00000145423	11.2348995	5.561399	2.74804939465693e-29	5.66821346192659e-27
1	rest	94	ENSG00000122417	11.214929	7.291723	3.44465459184261e-29	6.95855739455216e-27
1	rest	95	ENSG00000074695	11.195343	6.882406	4.29735028250601e-29	8.59250803935769e-27
1	rest	96	ENSG00000162458	11.190061	6.643018	4.56123068695435e-29	9.02801164756268e-27
1	rest	97	ENSG00000179218	11.179881	5.8807497	5.11583977622547e-29	1.00244880415138e-26
1	rest	98	ENSG00000131203	11.145221	8.992159	7.55567052474766e-29	1.451503567965e-26
1	rest	99	ENSG00000099715	11.135686	8.830093	8.40951345015556e-29	1.59984869957086e-26
2	rest	0	ENSG00000075624	12.34249	1.6780491	5.34761247879711e-35	2.13849931677611e-32
2	rest	2	ENSG00000084207	11.153467	1.2390286	6.88695194213215e-29	1.33613686441663e-26
2	rest	3	ENSG00000196262	10.075254	1.103728	7.10763213679804e-24	7.06974881830241e-22
2	rest	4	ENSG00000185787	9.240826	1.0392522	2.44602303521457e-20	1.72205747899188e-18
2	rest	9	ENSG00000288299	8.647087	1.2779787	5.28305188283618e-18	2.66807736196327e-16
2	rest	10	ENSG00000285043	8.619771	1.6336538	6.70879748667207e-18	3.345009841001e-16
2	rest	11	ENSG00000074800	8.528288	1.0764691	1.48529169634124e-17	7.18624463945844e-16
2	rest	12	ENSG00000113558	8.317233	1.0013363	9.00408229040784e-17	3.93828108215495e-15
2	rest	14	ENSG00000277359	8.217375	4.3454943	2.08006865524241e-16	8.65370388523886e-15
2	rest	20	ENSG00000150991	7.3421	1.0282586	2.1026814744113e-13	5.91134052956807e-12
2	rest	27	ENSG00000255508	6.9813213	3.201793	2.92416199873154e-12	7.06522248645431e-11
2	rest	30	ENSG00000240972	6.857884	2.9907773	6.98880922948593e-12	1.59983314079178e-10
2	rest	33	ENSG00000281287	6.646828	1.8951752	2.9947596594082e-11	6.25611039723919e-10
2	rest	35	ENSG00000108953	6.567328	1.0254494	5.12260546465915e-11	1.02425973551016e-09
2	rest	37	ENSG00000137575	6.4273977	1.0726973	1.29806895676548e-10	2.45992855007927e-09
2	rest	43	ENSG00000235067	6.217244	1.1520792	5.05961944268428e-10	8.58383056098687e-09
2	rest	54	ENSG00000163191	5.7598286	1.1486002	8.41993729787539e-09	1.12851348393891e-07
